US Election,GE11,GE12,GE13S,GE13,GE14,GE15
203,,,,,,29457
1619,,,,,,16119
1365,,,,,,5578
133,,,,,,22876
3032,,,,,,6179
928,,,,,,5630
139,,,,,,5289
4303,,,,,,18668
2498,,,,,,3775
275,,,,,,19627
748,,,,,,5164
91,,,,,,2768
18,,,,,,14131
22221,,,,,,10092
15922,,,,,,5673
1689,,,,,,2021
1816,,,,,,6644
1048,,,,,,6544
108,,,,,,5360
3971,,,,,,746
1619,,,,,,16479
279,,,,,,5177
768,,,,,,5057
217,,,,,,19223
24,,,,,,10397
3524,,,,,,1221
1124,,,,,,16474
178,,,,,,2566
2747,,,,,,15824
1881,,,,,,1162
245,,,,,,20080
1288,,,,,,16383
218,,,,,,20080
49,,,,,,16383
4737,,,,,,9159
1567,,,,,,7819
195,,,,,,5224
37213,,,,,,335
20387,,,,,,7411
2225,,,,,,7175
36788,,,,,,2289
31368,,,,,,741
2800,,,,,,427
751,,,,,,30120
48,,,,,,18576
14,,,,,,3663
3730,,,,,,587
1709,,,,,,31287
245,,,,,,23527
409,,,,,,11128
80,,,,,,21733
14,,,,,,6047
1348,,,,,,16078
659,,,,,,11092
87,,,,,,1626
3642,,,,,,16522
3146,,,,,,4120
393,,,,,,1357
5097,,,,,,15456
2791,,,,,,7951
281,,,,,,43455
1017,,,,,,21287
281,,,,,,5650
48,,,,,,22150
8913,,,,,,10405
6885,,,,,,1361
791,,,,,,39549
21022,,,,,,33390
19969,,,,,,5209
1448,,,,,,0
788,,,,,,0
268,,,,,,0
27,,,,,,14897
8279,,,,,,4899
3001,,,,,,11361
424,,,,,,5684
921,,,,,,1163
165,,,,,,16323
31,,,,,,14356
3992,,,,,,9421
1877,,,,,,4726
219,,,,,,282
823,,,,,,24318
256,,,,,,16144
33,,,,,,5320
1715,,,,,,3225
706,,,,,,660
131,,,,,,279
43426,,,,,,25148
25448,,,,,,20566
2706,,,,,,8323
2318,,,,,,24943
450,,,,,,24710
102,,,,,,5728
5798,,,,,,2008
5364,,,,,,445
418,,,,,,393
299,,,,,,27022
44,,,,,,19980
7,,,,,,18594
1908,,,,,,3977
412,,,,,,731
53,,,,,,31359
1981,,,,,,7576
912,,,,,,4592
104,,,,,,456
943,,,,,,137
162,,,,,,16234
